,address,chinese_company_name,company_name,district,email,fax,placement_type,telephone,valid_license
1621,"11th floor, Capital Centre, 151 Gloucester Road, Wan Chai, Hong Kong",成顧問有限公司,Professional STand Consultancy Limited,Wan Chai District,info@pstand.com,None,Office Staff / Executive Search,21569359,2012
1622,"Room 2, 2nd floor, Kai Yue Commercial Building, 2C Argyle Street, Mong Kok, Kowloon",早早僱傭中心,JOLLYHELPER,Yau Tsim Mong District,support@jollyhelper.com,None,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker",29822190,2020
1623,"Room A, 6th floor, Li Dong Building, 9 Li Yuen Street East, Central, Hong Kong",早早僱傭中心,JOLLYHELPER,Central and Western District,support@jollyhelper.com,None,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker",36129900,2020
1624,"Shop 223B, 1st floor, TBG Mall, Tak Bo Garden, 3 Ngau Tau Kok Road, Kowloon Bay, Kowloon",早早僱傭中心,JOLLYHELPER,Kwun Tong District,support@jollyhelper.com,None,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker",29822190,2020
1625,"Shop G07, Ground floor, Tuen Mun Parklane Square, 2 Tuen Hi Road, Tuen Mun, New Territories",早早僱傭中心,JOLLYHELPER,Tuen Mun District,support@jollyhelper.com,None,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker",29822190,2020
1626,"Office A, 12th floor, Prosperous Commercial Building, 54 Jardine's Bazaar, Causeway Bay, Hong Kong",早早僱傭中心,JOLLYHELPER,Wan Chai District,support@jollyhelper.com,None,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker",36129900,2020
1627,"Shop 23, Ground floor, Ho Shun Yee Building, 9 Fung Yau Street East, Yuen Long, New Territories",早早僱傭中心,JOLLYHELPER,Yuen Long District,support@jollyhelper.com,None,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker",29822190,2021
1628,"Shop P, Ground floor, Chan Kee Plaza, 42 Castle Peak Road, Sham Tseng, New Territories",早早僱傭中心,JOLLYHELPER,Tsuen Wan District,support@jollyhelper.com,None,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker",29822190,2021
1629,"Room 501, 5th floor, General Commercial Building, 156-164 Des Voeux Road Central, Central, Hong Kong",旭日僱傭,Rising Sun Employment Agency,Central and Western District,risingsunagency@yahoo.com.hk,35202170,Foreign Domestic Helpers,25410667,2014
1630,"Unit B, 10th floor, Kiu Yin Commercial Building, 361-363 Lockhart Road, Wan Chai, Hong Kong",旭明公司,Yuk Ming Company,None,None,None,Foreign Domestic Helpers,None,2000
1631,"Room 828, 8th floor, Willy Commercial Building, 28-36 Wing Kut Street, Central, Hong Kong",旭輝僱傭公司,Yuk Fai Employment Agency,Central and Western District,employ@yukfai.hq.com.hk,28109682,Foreign Domestic Helpers,28109382,2013
1632,"Room 1710-11, 17th floor, Hollywood Plaza, 610 Nathan Road, Mong Kok, Kowloon",旭輝僱傭公司,Yuk Fai Employment Agency,None,None,None,Foreign Domestic Helpers,None,2013
1633,"Shop 214, Level 2, Metro City, Phase I, Tseung Kwan O, New Territories",旭輝僱傭公司,Yuk Fai Employment Agency,None,None,None,Foreign Domestic Helpers,None,2013
1634,"Shop 277, 2nd floor, T. Mark, 18 Tai Ho Road, Tsuen Wan, New Territories",旭輝僱傭公司,Yuk Fai Employment Agency,Tsuen Wan District,tsuenwan@yukfai.co,21140414,Foreign Domestic Helpers,24113393,2019
1635,"Unit B, 3rd floor, Charmhill Centre, 50 Hillwood Road, Tsim Sha Tsui, Kowloon",有朋僱傭中心有限公司,GOOD FRIEND EMPLOYMENT LIMITED,Yau Tsim Mong District,tst@goodfriend.com.hk,35794422,Foreign Domestic Helpers,35794433,2013
1636,"Unit 13, 12th floor, Block A, Hong Kong Industrial Centre, 489-491 Castle Peak Road, Lai Chi Kok, Kowloon",有得揀,BUY ME WISE,Sham Shui Po District,LRRHK@HOTMAIL.COM,29593028,Foreign Domestic Helpers,22750769,2021
1637,"1st floor, 80 Tam Kon Shan Road, Tsing Yi North, New Territories",江氏僱傭中心,Jame Employment Agencies Centre,Kwai Tsing District,alanclkong@yahoo.com,None,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker",61006685,2019
1638,"Flat 2203, 22nd floor, Block B, Hongway Garden, 8 New Market Street, Sheung Wan, Hong Kong",江門市對外勞動服務(香港)有限公司,Jiang Men City Foreign Labour Service (H.K.) Company Limited,Central and Western District,JMLWhk@163.com,25445897,Imported Worker,25454690,1998
1639,"Flat B, 3rd floor, Wing Cheong Commercial Building, 19-25 Jervois Street, Sheung Wan, Hong Kong",百川顧問有限公司,Golden Slash Consultancy Limited,Central and Western District,None,None,"Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker",None,2021
1640,"Unit 4, 2nd floor, Wing On Plaza, 62 Mody Road, Tsim Sha Tsui, Kowloon",百本專業護理服務有限公司,BAMBOOS PROFESSIONAL NURSING SERVICES LIMITED,Yau Tsim Mong District,contact@bamboos.com.hk,25755836,Other Non-office Worker,25755893,2012
1641,"Shop A50A, Ground floor, Tai On Building, 57-87 Shau Kei Wan Road, Sai Wan Ho, Hong Kong",百合僱傭服務,Perfect Solution Employment Agency,Eastern District,None,34228643,Foreign Domestic Helpers,34275018,2009
1642,"Ground floor, 24A Cherry Street, Tai Kok Tsui, Kowloon",百安(香港)有限公司,Pak On (Hong Kong) Company Limited,Yau Tsim Mong District,pakon_hk@yahoo.com.hk,31658293,Foreign Domestic Helpers,29740000,2002
1643,"Shop A50-51, Ground floor, Ma On Shan Centre, 1 On Chun Street, Ma On Shan, New Territories",百安(香港)有限公司,Pak On (Hong Kong) Company Limited,Sha Tin District,pakon_mos@yahoo. com.hk,26316188,Foreign Domestic Helpers,35010000,2010
1644,"Unit 1202, 12th floor, China United Plaza, 1008 Tai Nan West Street, Lai Chi Kok, Kowloon",百利意有限公司,Pioneer Ease Limited,Sham Shui Po District,None,None,Other Non-office Worker,None,2005
1645,"Room 702, 7th floor, Sunny House, 12-16 Li Yuen Street West, Central, Hong Kong",百事達僱傭中心有限公司,Andy & Master Human Resources Consultant Co. Limited,Central and Western District,andy&master16@gmail.com,35477949,"Local Domestic Helpers, Foreign Domestic Helpers",24300045,2010
1646,"Room 1711, 17th floor, Hollywood Plaza, 610 Nathan Road, Mong Kok, Kowloon",百佳僱傭公司,PARK EMPLOYMENT AGENCY,None,None,None,Foreign Domestic Helpers,None,2013
1647,"Flat D, 29th floor, Block 2, Lime Gala, 393 Shau Kei Wan Road, Shau Kei Wan, Hong Kong",百家傭僱傭公司,Ne Homemaid Employment Agency,Eastern District,None,None,Foreign Domestic Helpers,98679488,2011
1648,"Unit 601, 6th floor, Tung Hip Commercial Building, 248 Des Voeux Road Central, Sheung Wan, Hong Kong",百眾有限公司,Million Pak Limited,Central and Western District,kitty.au@millionpak.com,27368627,"Office Staff / Executive Search, Other Non-office Worker",27368628,2007
1649,"Suite 1901-1902, 19th floor, Hopewell Centre, 183 Queen's Road East, Wan Chai, Hong Kong",百傑仕人事顧問有限公司,BK Agas Personnel Services Limited,Wan Chai District,hlee@bkasiapacific.com,26872252,Office Staff / Executive Search,25989785,2001
1650,"Mezzanine floor, 408 Ma Tau Wai Road, Hung Hom, Kowloon",百喜僱傭中心有限公司,Allwin Employment Centre Limited,Kowloon City District,allwin_employment@outlook.com,28669595,Foreign Domestic Helpers,28668585,2003
1651,"Shop 29, Ground floor, Laguna Arcade, Phase 3, Laguna City, Cha Kwo Ling Road, Lam Tin, Kowloon",百喜僱傭中心有限公司,Allwin Employment Centre Limited,None,None,None,Foreign Domestic Helpers,None,2004
1652,"Room 402, 4th floor, Goldfield Tower, 53-59 Wuhu Street, Hung Hom, Kowloon",百喜僱傭中心有限公司,Allwin Employment Centre Limited,Kowloon City District,None,23331828,Foreign Domestic Helpers,23336833,2006
1653,"Room 2001, 20th floor, Capitol Centre, 5-19 Jardine's Bazaar, Causeway Bay, Hong Kong",百富人事顧問有限公司,Bravo Personnel Consultancy Limited,Wan Chai District,daniel@bravopersonnel.com,25768026,Office Staff / Executive Search,28816923,1996
1654,"Shop 29, Ground floor, Laguna Arcade, Phase 3, Laguna City, Cha Kwo Ling Road, Lam Tin, Kowloon",百惠僱傭中心有限公司,WINWIN EMPLOYMENT CENTRE LIMITED,Kwun Tong District,winmaids@hotmail.com,27172283,"Local Domestic Helpers, Foreign Domestic Helpers",27276788,2005
1655,"Shop C8B, Ground floor, Merlin Centre, 55 Po On Road, Sham Shui Po, Kowloon",百順顧問服務有限公司,Good Win Consultant Services Limited,Sham Shui Po District,None,None,"Local Domestic Helpers, Foreign Domestic Helpers",None,2014
1656,"Room 402, 4th floor, Goldfield Tower, 53-59 Wuhu Street, Hung Hom, Kowloon",百達顧問,DAYWIN CONSULTANT,None,None,None,Foreign Domestic Helpers,None,2008
1657,"Shop 239, 2nd floor, Hsin Kuang Centre, 120 Lung Cheung Road, Wong Tai Sin, Kowloon",百寧僱傭中心,BeeLee Employment Agency,Wong Tai Sin District,beelee.agency@gmail.com,23920103,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search",23920100,2020
1658,"Room 406, 4th floor, King's Commercial Building, 2 & 4 Chatham Court, Tsim Sha Tsui, Kowloon",百德顧問有限公司,Perfect Way Consultants Limited,Yau Tsim Mong District,resume@perfectway.com.hk,23665141,Office Staff / Executive Search,25251168,1992
1659,"Room 1507, 15th floor, Fortune Commercial Building, 362 Sha Tsui Road, Tsuen Wan, New Territories",百駿僱傭服務公司,Bart Chun Employment Service Co.,Tsuen Wan District,bartchun@biznetvigator.com,81088968,Foreign Domestic Helpers,26828626,2006
1660,"Room 113, 1st floor, Federal Plaza, 469 Castle Peak Road, Cheung Sha Wan, Kowloon",竹目僱傭有限公司,TAKEME EMPLOYMENT LIMITED,Sham Shui Po District,takemeagency@yahoo.com.hk,35255219,"Local Domestic Helpers, Foreign Domestic Helpers",62267749,2021
1661,"Suite 1701, 17th floor, Central Tower, 28 Queen's Road Central, Central, Hong Kong",米高蒲志國際(香港)有限公司,Michael Page International (Hong Kong) Limited,Central and Western District,enquiries@michaelpage.com.hk,25306101,Office Staff / Executive Search,25306100,1994
1662,"Unit 1,8,9, 14th floor, Tower I, Admiralty Centre, 18 Harcourt Road, Admiralty, Hong Kong",米高蒲志國際(香港)有限公司,Michael Page International (Hong Kong) Limited,Central and Western District,enquiries@michaelpage.com.hk,25306101,Office Staff / Executive Search,25306100,2010
1663,"Shop 19, Ground floor, Hip Pont Building, 21 Tseng Choi Street, Tuen Mun, New Territories",老友記顧問公司,Good & Good Consultant Top Up Center,None,None,None,"Local Domestic Helpers, Foreign Domestic Helpers",None,2016
1664,"No. 12, Chi Tong Tsuen, Kam Tin, New Territories",至好傭國際僱傭中心有限公司,RCI International Employment Agency Limited,Yuen Long District,rci.agency@yahoo.com.hk,23313373,Foreign Domestic Helpers,21771888,2013
1665,"Room C, 16th floor, Tai Po Commercial Centre, 152-172 Kwong Fuk Road, Tai Po, New Territories",至尊僱傭服務有限公司,LEADER EMPLOYMENT COMPANY LIMITED,Tai Po District,info@leaderemployment.com.hk,23020052,Foreign Domestic Helpers,26621448,2003
1666,"Shop 217C, Level 2, Phase 1, Metro City Plaza, Tseung Kwan O, New Territories",至尊僱傭服務有限公司,LEADER EMPLOYMENT COMPANY LIMITED,Sai Kung District,info@leaderemployment.com.hk,27060988,Foreign Domestic Helpers,27061938,2003
1667,"Shop 52, Ground floor, 88 San Shing Avenue, Sheung Shui, New Territories",至尊僱傭服務有限公司,LEADER EMPLOYMENT COMPANY LIMITED,North District,info@leaderemployment.com.hk,26666732,Foreign Domestic Helpers,26666021,2004
1668,"Shop 3147-3148, 3rd floor, Lok Fu Shopping Centre, Wang Tau Hom, Kowloon",至尊僱傭服務有限公司,LEADER EMPLOYMENT COMPANY LIMITED,Wong Tai Sin District,info@leaderemployment.com.hk,23379839,Foreign Domestic Helpers,23379866,2004
1669,"Shop 316, 3rd floor, Wo Che Plaza, Wo Che Estate, Sha Tin, New Territories",至尊僱傭服務有限公司,LEADER EMPLOYMENT COMPANY LIMITED,Sha Tin District,info@leaderemployment.com.hk,27460238,Foreign Domestic Helpers,26481918,2013
1670,"Suite 803, 8th floor, Two Chinachem Exchange Square, 338 King's Road, North Point, Hong Kong",至善管理顧問有限公司,Nova Management Consultants Limited,None,None,None,Office Staff / Executive Search,None,2003
1671,"Room C, 16th floor, Tai Po Commercial Centre, 152-172 Kwong Fuk Road, Tai Po, New Territories",至德僱傭服務有限公司,LEADER PRO EMPLOYMENT COMPANY LIMITED,Tai Po District,leaderpro.info@gmail.com,23020052,Foreign Domestic Helpers,26533867,2019
1672,"Room A, 3rd floor, Hong Lok Mansion, 72 Argyle Street, Mong Kok, Kowloon",至樂僱傭中心,Happy Employment Agency,Yau Tsim Mong District,ms.lowaiming@yahoo.com.hk,34883369,Foreign Domestic Helpers,34883373,2011
1673,"Unit B2, 9th floor, Jone Mult Industrial Building, 169 Wai Yip Street, Kwun Tong, Kowloon",艾希僱傭中心,Ahi Employment Center,Kwun Tong District,info@ahi-helper.com,None,"Local Domestic Helpers, Foreign Domestic Helpers",39039422,2017
1674,"Room 1601, 16th floor, Island Centre, 470 Reclamation Street, Mong Kok, Kowloon",西聯人力資源服務公司,Western Union Human Resource,Yau Tsim Mong District,ciuexpress@gmail.com,23980505,"Local Domestic Helpers, Foreign Domestic Helpers",23980255,2007
1675,"Unit 602, 6th floor, Cambridge House, 26-28 Cameron Road, Tsim Sha Tsui, Kowloon",亨達人事顧問公司,Job-Hunter Employment Agency,Yau Tsim Mong District,nancie@job-hunter.com.hk,37649355,Office Staff / Executive Search,25238998,1991
1676,"Flat A, 9th floor, Chung Hing Commercial Building, 62-63 Connaught Road Central, Central, Hong Kong",伴你左右幫家顧問有限公司,Helper with U Consultants Limited,Central and Western District,helperwithu@gmail.com,,"Local Domestic Helpers, Foreign Domestic Helpers",60169160,2018
1677,"Level 15, Lee Garden Two, 28 Yun Ping Road, Causeway Bay, Hong Kong",伯文仕(中國)有限公司,Barons & Company (China) Limited,Wan Chai District,jchang@barons-co.com,27217000,Office Staff / Executive Search,27215000,2001
1678,"Room 2108, 21st floor, Tower One, Lippo Centre, 89 Queensway, Admiralty, Hong Kong",伯納華丹福科教康文有限公司,Brainer Waterford Techno-culture Limited,Central and Western District,None,28450691,Office Staff / Executive Search,28662217,2015
1679,"16th floor, King's Commercial Centre, 25 King's Road, Tin Hau, Hong Kong",伯覓人力資源中心,Perfect Match Manpower Services,Wan Chai District,cv@perfect-match.com.hk,82036272,Office Staff / Executive Search,25128670,2002
1680,"Room 802-4, 8th floor, Wilson House, 19-27 Wyndham Street, Central, Hong Kong",伯樂,Bo Le Associates Limited,Central and Western District,man.wu@globalsage.com,None,Office Staff / Executive Search,28722547,1996
1681,"Level 27, Worldwide House, 19 Des Voeux Road Central, Central, Hong Kong",伯賽思(香港)管理咨詢有限公司,Christian Bassett (Hong Kong) Limited,Central and Western District,mariko@christianbassett.com,None,"Office Staff / Executive Search, Imported Worker",3977 0510,2014
1682,"Flat B3, 8th floor, Loyong Court Commercial Building, 212-220 Lockhart Road, Wan Chai, Hong Kong",利而達僱傭代理,Job Leader Profession Consultant,Wan Chai District,jobleader88@yahoo.com.hk,None,Foreign Domestic Helpers,27358068,2012
1683,"Shop 35, 2nd floor, Cheong Sing Building, 3 Wang Fat Path, Yuen Long, New Territories",利來顧問公司,JHORLEY CONSULTANCY,Yuen Long District,jhorleylimited2015@gmail.com,None,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker, Other Non-office Worker",65784884,2020
1684,"Shop 86, 1st floor, Tin Hau Apple Mall, 14 King's Road, Tin Hau, Hong Kong",利卓顧問有限公司,Global Premier Consultancy Limited,None,None,None,Foreign Domestic Helpers,None,2004
1685,"Flat F, 5th floor, Block 4, Golden Dragon Industrial Centre, 182-190 Tai Lin Pai Road, Kwai Chung, New Territories",利盈豐中介,LIFIVE DOMESTIC EMPLOYMENT,Kwai Tsing District,a1benawong@gmail.com,24805782,Foreign Domestic Helpers,66411477,2017
1686,"Suite 2606, 26th floor, Prosperity Millennia Plaza, 663 King's Road, Quarry Bay, Hong Kong",利唐亞洲有限公司,CNB Express Talent-Spot Asia Company Limited,Eastern District,tonychan@talentspotgroup.com,None,Office Staff / Executive Search,21233300,2016
1687,"Room 403, 4th floor, David House, 8-20 Nanking Street, Jordan, Kowloon",利家僱傭,Wealth Employment Agency,Yau Tsim Mong District,wealth.ivy@gmail.com,None,Foreign Domestic Helpers,21551822,2012
1688,"Room 2008, 20th floor, Hing Yip Commercial Centre, 272-284 Des Voeux Road Central, Sheung Wan, Hong Kong",利得佳僱傭有限公司,Glory Semesta Manpower Limited,Central and Western District,glorysemesta@biznetvigator.com,26886010,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker",26886020,2004
1689,"Room A, 16th floor, Gaylord Commercial Building, 114-118 Lockhart Road, Wan Chai, Hong Kong",利華僱傭有限公司,Lee Wah Employment Limited,Wan Chai District,kevinsze1083@yahoo.com.hk,None,Foreign Domestic Helpers,93035021,2018
1690,"Flat G, 22nd floor, Hong Kong Mansion, 1 Yee Wo Street, Causeway Bay, Hong Kong",利源行旅運有限公司,"Liliek Co., Limited",Wan Chai District,None,None,Foreign Domestic Helpers,None,1992
1691,"Shop 2, Ground floor, 88 Square, 88 Po Heung Street, Tai Po Market, Tai Po, New Territories",利達僱傭中心,Lei Da Employment Centre,None,None,None,Foreign Domestic Helpers,None,2008
1692,"Shop D27, 1st floor, Planet Square, 1-15 Tak Man Street, Hung Hom, Kowloon",君宜僱傭中心,GRANDE EMPLOYMENT CENTRE,None,None,None,Foreign Domestic Helpers,None,2014
1693,"Room 1417, 14th floor, Hollywood Plaza, 610 Nathan Road, Mong Kok, Kowloon",君龍人事顧問有限公司,JOB STATION PERSONNEL AGENCY LIMITED,Yau Tsim Mong District,info@jobstationhk.com,37410378,Office Staff / Executive Search,37430608,2020
1694,"Unit 2302, 23rd floor, New World Tower I, 18 Queen's Road Central, Central, Hong Kong",君駿顧問公司,Talent Nexus Company,Central and Western District,jobs@talent-nexus.com,26434238,Office Staff / Executive Search,31152921,2012
1695,"1st floor, 211-215 Tung Choi Street, Mong Kok, Kowloon",君譽醫療集團,ICON MEDICAL GROUP,Yau Tsim Mong District,info@iconmed.hk,23976600,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker",23812387,2017
1696,"Flat A5, 12th floor, Astoria Building, 34 Ashley Road, Tsim Sha Tsui, Kowloon",均美顧問公司,iLIKE CONSULTANTS COMPANY,Yau Tsim Mong District,iLIKEA306@GMAIL.COM,None,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search",93143164,2019
1697,"Flat I, 10th floor, Haribest Industrial Building, 45-47 Au Pui Wan Street, Fo Tan, New Territories",坐月媽媽冇煩惱有限公司,Maycareyou Limited,Sha Tin District,maycareu@gmail.com,None,Local Domestic Helpers,62331239,2017
1698,"Shop 124-125, Basement, Maximall, City Garden, 233 Electric Road, North Point, Hong Kong",妙妙專業菲傭,BEM-BEM EMPLOYMENT AGENCY,Eastern District,None,None,"Local Domestic Helpers, Foreign Domestic Helpers",None,2020
1699,"Room 1205, 12th floor, Workingview Commercial Building, 21 Yiu Wa Street, Causeway Bay, Hong Kong",宏天合規顧問有限公司,Averti Compliance Consultancy Limited,Wan Chai District,info@averti.com.hk,30206292,Office Staff / Executive Search,34820384,2019
1700,"Room B, 15th floor, Shing Hing Commercial Building, 21-27 Wing Kut Street, Sheung Wan, Hong Kong",宏志僱傭公司,WANGIE EMPLOYMENT CO,Central and Western District,wangie188@hotmail.com,None,Foreign Domestic Helpers,None,2015
1701,"Shop C50, 2nd floor, Tsuen Fung Centre, 144-172 Castle Peak Road, Tsuen Wan, New Territories",宏信服務公司,ASSURANCE SERVICES CO.,Tsuen Wan District,None,None,"Local Domestic Helpers, Foreign Domestic Helpers",24170798,2018
1702,"Flat B, 12th floor, Block 2, The Laguna, The Bloomsway, 18 Tsing Ying Road, Tuen Mun, New Territories",宏軒家傭服務中心,Best Concept Employment Services Centre,Tuen Mun District,bcinfobox@gmail.com,24510000,"Local Domestic Helpers, Foreign Domestic Helpers, Imported Worker",93100508,2020
1703,"Room 1805, 18th floor, Royal Commercial Centre, 56 Parkes Street, Jordan, Kowloon",宏富高僱傭中心有限公司,WANG FULLCO EMPLOYMENT AGENCY LIMITED,Yau Tsim Mong District,info@wangfullco.com,23328803,Foreign Domestic Helpers,23328850,2012
1704,"Room 1908, 19th floor, CRE Center, 889 Cheung Sha Wan Road, Cheung Sha Wan, Kowloon",宏景創新科技有限公司,Hongjing Emerging Technology Company Limited,Wan Chai District,andykwok@hongjingedu.com,None,Office Staff / Executive Search,22658001,2015
1705,"Room 603, 6th floor, The Star, 16-18 Yip Shing Street, Kwai Chung, New Territories",宏匯管理有限公司,Upstream Limited,Kwai Tsing District,donald.hsu@upstreamlimited.com,,Office Staff / Executive Search,98105040,2019
1706,"Suite 720, 7th floor, Tower A, New Mandarin Plaza, 14 Science Museum Road, Tsim Sha Tsui, Kowloon",宏達匯才策略有限公司,CONNEXIONS CONSULTING LIMITED,Yau Tsim Mong District,carrie.ip@connexions.hk,35855887,Office Staff / Executive Search,21112421,2011
1707,"3A Kwong Fuk Road, Tai Po, New Territories",宏嘉僱傭中心有限公司,WANG KA EMPLOYMENT CENTRE LIMITED,Tai Po District,wangkacs@gmail.com,28862033,Foreign Domestic Helpers,28862386,2019
1708,"Room 1219, 12th floor, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories",宏嘉僱傭中心有限公司,WANG KA EMPLOYMENT CENTRE LIMITED,Tsuen Wan District,wangkacs@gmail.com,28862033,Foreign Domestic Helpers,28862386,2019
1709,"Rear Portion of Ground floor, Grand View Mansion, 119B Chatham Road South, Tsim Sha Tsui, Kowloon",宏嘉僱傭中心有限公司,WANG KA EMPLOYMENT CENTRE LIMITED,Yau Tsim Mong District,wangkacs@gmail.com,28862033,Foreign Domestic Helpers,28862386,2020
1710,"Shop 226, 2nd floor, Belvedere Square, Phase 2, Belvedere Garden, 620 Castle Peak Road, Tsuen Wan, New Territories",宏寶僱傭服務中心,Extensive Employment Services Centre,Tsuen Wan District,extemployment@gmail.com,24929633,"Local Domestic Helpers, Foreign Domestic Helpers",24929263,1991
1711,"Shop 6198, 6th floor, Dragon Centre, 37K Yen Chow Street, Sham Shui Po, Kowloon",宏鷹集團專業僱傭,Gianteagle Maid Express Consultants,Sham Shui Po District,cynthia131419@icloud.com,21918896,"Local Domestic Helpers, Foreign Domestic Helpers",21918896,2016
1712,"Room 1809-10, 18th floor, Wu Sang House, 655 Nathan Road, Mong Kok, Kowloon",希明顧問有限公司,HAYSTAR CONSULTANT LIMITED,None,None,None,Office Staff / Executive Search,None,2007
1713,"19th floor, Kam Sang Building, 255-257 Des Voeux Road Central, Central, Hong Kong",希晨顧問有限公司,HAYSON SOLUTION LIMITED,Central and Western District,info@haysonhr.com,None,"Office Staff / Executive Search, Other Non-office Worker",23757237,2020
1714,"Flat 903, 9th floor, On Lok Yuen Building, 25-27A Des Voeux Road Central, Central, Hong Kong",希爾曼有限公司,HILLMANSTEP LIMITED,Central and Western District,info@hillmanstep.com,30071477,"Office Staff / Executive Search, Imported Worker",28106677,2020
1715,"Flat 491A, 2nd floor, Prospect Building, 491-493 Nathan Road, Yau Ma Tei, Kowloon",志璟顧問公司,Advantage Consultant Co.,Yau Tsim Mong District,tammysum713@yahoo.com.hk,27711420,Foreign Domestic Helpers,26012708,2007
1716,"Room A, 9th floor, Tower II, Capitol Centre, 28 Jardine's Crescent, Causeway Bay, Hong Kong",快達僱傭代理有限公司,Futa Employment Agency Limited,Wan Chai District,sales@futa.com.hk,None,Foreign Domestic Helpers,None,2002
1717,"Flat B, 3rd floor, Chip Lee Building, 180 Sai Yeung Choi Street South, Mong Kok, Kowloon",快遞家傭僱用服務代理,Express-Domestic Employment Services Agency,Sha Tin District,tonyexpressdomestic@yahoo.com.hk,None,Foreign Domestic Helpers,63321312,2006
1718,"Unit 2610, 26th floor, APEC Plaza, 49 Hoi Yuen Road, Kwun Tong, Kowloon",快德僱傭中心,FT Employment Agency,Kwun Tong District,ftemploymentagency@gmail.com,None,Foreign Domestic Helpers,61037539,2021
1719,"Shop 106, 2nd floor, Hop Yick Commercial Centre, 33 Hop Choi Street, Yuen Long, New Territories",快樂家女傭中心,FORMICA MAID CENTRE,None,None,None,Foreign Domestic Helpers,None,2016
1720,"6th floor, 101 King's Road, Fortress Hill, Hong Kong",我的顧問有限公司,iCareer Consultants Limited,Eastern District,info@icareer.com.hk,28666830,Office Staff / Executive Search,25206798,2011
1721,"Shop 27B, Ground floor, Kam Fat Building, 9 Tseng Choi Street, Tuen Mun, New Territories",更好家僱傭中心,Better Living Employment Agency,Tuen Mun District,hkbetterliving@gmail.com,None,Foreign Domestic Helpers,35905149,2019
1722,"22nd floor, Guangdong Finance Building, 88 Connaught Road West, Sheung Wan, Hong Kong",李志輝．余仲良企業服務有限公司,LEE & YU CORPORATE SERVICES LIMITED,Central and Western District,recruit@leeandyu.com.hk,28382846,Office Staff / Executive Search,28380448,2018
1723,"Unit B, 16th floor, Century House, 3-4 Hanoi Road, Tsim Sha Tsui, Kowloon",求職達人有限公司,JOB MASTER CONSULTANT LIMITED,Yau Tsim Mong District,info@jobmaster.com.hk,35800606,Office Staff / Executive Search,35808580,2018
1724,"Shop B18, 1st floor, San Po Kong Plaza, 33 Shung Ling Street, San Po Kong, Kowloon",沙田僱傭樂園,Shatin Employment Paradise Co.,Wong Tai Sin District,urgly_su@yahoo.com.hk,None,Foreign Domestic Helpers,31138816,2014
1725,"No. 5B, Tsoi Yuen Tsuen, 14 Mile Castle Peak Road, Tsing Lung Tau, Tsuen Wan, New Territories",沙隆僱傭代理,Shalom Employment Services,None,None,None,Foreign Domestic Helpers,None,2005
1726,"Unit A, 8th floor, Wing Yee Commercial Building, 5 Wing Kut Street, Central, Hong Kong",沛成科技有限公司,Pessen Technology Limited,Central and Western District,pessenpatsy@gmail.com,21160012,Foreign Domestic Helpers,91234939,2002
1727,"Level 11, The Wave, 4 Hing Yip Street, Kwun Tong, Kowloon",沛詩人力資源有限公司,Praise & Wisdom Recruitment Company Limited,Kwun Tong District,eva@pwrc.com.hk,None,Office Staff / Executive Search,38990931,2016
1728,"Unit 46, 1st floor, Carson Mansion, 121 King's Road, North Point, Hong Kong",沛嘉有限公司,Polymark Limited,Eastern District,polymarkwu@yahoo.com,35648028,Foreign Domestic Helpers,62333900,2002
1729,"Room 704A, 7th floor, Lucky Commercial Centre, 103 Des Voeux Road West, Sheung Wan, Hong Kong",沃銳(中國)人才科技集團有限公司,WALRE (CHINA) HUMAN RESOURCES TECHNOLOGY GROUP LIMITED,Central and Western District,13661667107@qq.com,None,Office Staff / Executive Search,34630918,2019
1730,"Room 1603, 16th floor, Nam Wo Hong Building, 148 Wing Lok Street, Sheung Wan, Hong Kong",秀華人力資源顧問有限公司,SILVERSTRAND EXECUTIVE SEARCH LIMITED,Central and Western District,d.lo@silverstrand.com.hk,None,Office Staff / Executive Search,31711961,2019
1731,"17th floor, 80 Gloucester Road, Wan Chai, Hong Kong",言迅香港有限公司,Inston Hong Kong Limited,Wan Chai District,canninglee@inston.com.hk,23267491,Office Staff / Executive Search,27813748/92979994,2019
